DATE,INDPRO
1962-07-01,26.2435333333333333
1962-10-01,26.4650666666666667
1963-01-01,26.9543000000000000
1963-04-01,27.6651333333333333
1963-07-01,27.8497333333333333
1963-10-01,28.3204666666666667
1964-01-01,28.7082000000000000
1964-04-01,29.3820666666666667
1964-07-01,29.8528333333333333
1964-10-01,30.3051666666666667
1965-01-01,31.4498000000000000
1965-04-01,32.1790333333333333
1965-07-01,32.8528666666666667
1965-10-01,33.5175333333333333
1966-01-01,34.4775333333333333
1966-04-01,35.1975333333333333
1966-07-01,35.7421333333333333
1966-10-01,36.0836666666666667
1967-01-01,35.8848666666666667
1967-04-01,35.7386333333333333
1967-07-01,35.9844666666666667
1967-10-01,36.9473666666666667
1968-01-01,37.4747666666666667
1968-04-01,37.9799666666666667
1968-07-01,38.2747000000000000
1968-10-01,38.8559000000000000
1969-01-01,39.6118000000000000
1969-04-01,39.7846666666666667
1969-07-01,40.2622666666666667
1969-10-01,40.0098333333333333
1970-01-01,39.0405000000000000
1970-04-01,38.8257666666666667
1970-07-01,38.6867333333333333
1970-10-01,37.8504000000000000
1971-01-01,38.5801666666666667
1971-04-01,38.9296000000000000
1971-07-01,39.0496333333333333
1971-10-01,39.9548000000000000
1972-01-01,41.6495666666666667
1972-04-01,42.4437333333333333
1972-07-01,42.9842333333333333
1972-10-01,44.4884000000000000
1973-01-01,45.7490000000000000
1973-04-01,46.1312666666666667
1973-07-01,46.5290666666666667
1973-10-01,47.2238000000000000
1974-01-01,46.8072333333333333
1974-04-01,46.8348333333333333
1974-07-01,46.6502333333333333
1974-10-01,44.7983333333333333
1975-01-01,41.8382000000000000
1975-04-01,41.2733000000000000
1975-07-01,42.2867666666666667
1975-10-01,43.2091333333333333
1976-01-01,44.5379333333333333
1976-04-01,45.1071333333333333
1976-07-01,45.7101000000000000
1976-10-01,46.5346333333333333
1977-01-01,47.5001000000000000
1977-04-01,48.9719000000000000
1977-07-01,49.5006000000000000
1977-10-01,49.8219333333333333
1978-01-01,49.6832000000000000
